Feature,importance,fold
fftr_range_-175_-170,16.4,3
fftr_range_-180_-175,21.4,3
fftr_range_-185_-180,17.8,3
fftr_range_-190_-185,24.2,3
fftr_range_-195_-190,17.2,3
fftr_range_-200_-195,15.2,3
fftr_range_-20_-15,15.4,3
fftr_range_-25_-20,27.4,3
fftr_range_-30_-25,18.8,3
fftr_range_-35_-30,29.0,3
fftr_range_-40_-35,21.0,3
fftr_range_-45_-40,27.2,3
fftr_range_-50_-45,21.2,3
fftr_range_-55_-50,24.2,3
fftr_range_-5_0,30.2,3
fftr_range_-60_-55,20.0,3
fftr_range_-65_-60,26.2,3
fftr_range_-70_-65,29.8,3
fftr_range_-75_-70,29.2,3
fftr_range_-80_-75,21.0,3
fftr_range_-85_-80,19.8,3
fftr_range_-90_-85,26.4,3
fftr_range_-95_-90,20.8,3
fftr_range_0_5,27.2,3
fftr_range_100_105,18.0,3
fftr_range_105_110,36.2,3
fftr_range_10_15,33.2,3
fftr_range_110_115,25.4,3
fftr_range_115_120,18.4,3
fftr_range_120_125,28.0,3
fftr_range_125_130,14.2,3
fftr_range_130_135,20.0,3
fftr_range_135_140,20.4,3
fftr_range_140_145,21.0,3
fftr_range_145_150,23.0,3
fftr_range_150_155,16.8,3
fftr_range_155_160,22.0,3
fftr_range_15_20,38.8,3
fftr_range_160_165,32.8,3
fftr_range_165_170,24.8,3
fftr_range_170_175,21.2,3
fftr_range_175_180,26.0,3
fftr_range_180_185,26.0,3
fftr_range_185_190,17.8,3
fftr_range_190_195,16.0,3
fftr_range_20_25,15.2,3
fftr_range_25_30,32.0,3
fftr_range_30_35,17.2,3
fftr_range_35_40,15.4,3
fftr_range_40_45,27.6,3
fftr_range_45_50,23.6,3
fftr_range_50_55,15.6,3
fftr_range_55_60,24.8,3
fftr_range_5_10,20.6,3
fftr_range_60_65,24.2,3
fftr_range_65_70,15.4,3
fftr_range_70_75,21.4,3
fftr_range_75_80,22.0,3
fftr_range_80_85,22.0,3
fftr_range_85_90,23.0,3
fftr_range_90_95,30.8,3
fftr_range_95_100,28.8,3
fftr_range_minf_m4000,5.4,3
fftr_range_p4000_pinf,4.8,3
fftr_spkt_welch_density_1,16.2,3
fftr_spkt_welch_density_10,33.8,3
fftr_spkt_welch_density_100,26.6,3
fftr_spkt_welch_density_5,45.2,3
fftr_spkt_welch_density_50,24.2,3
fftr_std_last_1000,39.6,3
fftr_std_last_10000,3.0,3
fftr_std_last_50000,2.4,3
fftr_std_roll_mean_100,11.6,3
fftr_std_roll_mean_1000,19.0,3
fftr_std_roll_mean_10000,26.2,3
fftr_std_roll_mean_500,13.6,3
fftr_std_roll_std_100,5.6,3
fftr_std_roll_std_1000,2.6,3
fftr_std_roll_std_10000,5.2,3
fftr_std_roll_std_500,3.0,3
fftr_sum,7.6,3
fftr_time_rev_asym_stat_1,28.0,3
fftr_time_rev_asym_stat_10,43.4,3
fftr_time_rev_asym_stat_100,50.6,3
fftr_time_rev_asym_stat_5,30.6,3
kstat_2,3.0,3
kstatvar_1,5.2,3
kurt,28.8,3
mad,24.6,3
max,16.4,3
max_first_1000,12.6,3
max_first_10000,19.6,3
max_first_50000,30.8,3
max_last_1000,8.6,3
max_last_10000,28.4,3
max_last_50000,25.6,3
max_roll_mean_100,16.0,3
max_roll_std_100,13.4,3
max_roll_std_1000,13.6,3
max_roll_std_10000,7.8,3
max_roll_std_500,12.6,3
max_to_min,35.8,3
max_to_min_diff,38.4,3
mean_change_abs,8.4,3
mfcc_0,34.0,3
mfcc_1,28.2,3
mfcc_10,38.6,3
mfcc_11,93.2,3
mfcc_12,56.6,3
mfcc_13,47.6,3
mfcc_14,113.8,3
mfcc_15,167.8,3
mfcc_18,42.2,3
mfcc_2,99.4,3
mfcc_3,38.2,3
mfcc_4,106.6,3
mfcc_5,161.6,3
mfcc_6,57.6,3
mfcc_7,65.6,3
mfcc_8,32.8,3
mfcc_9,69.4,3
min,11.8,3
min_first_1000,11.2,3
min_first_10000,16.0,3
min_first_50000,26.0,3
min_last_1000,7.6,3
min_last_10000,31.8,3
min_last_50000,19.0,3
min_roll_std_100,57.0,3
min_roll_std_1000,42.4,3
min_roll_std_10000,61.0,3
min_roll_std_500,53.4,3
moment_2,3.0,3
moment_3,43.4,3
moment_4,9.6,3
num_peaks_10,81.2,3
num_peaks_12,57.2,3
num_peaks_14,42.4,3
num_peaks_16,25.4,3
num_peaks_18,31.6,3
num_peaks_2,68.4,3
num_peaks_20,45.2,3
num_peaks_4,49.8,3
num_peaks_6,78.0,3
num_peaks_8,95.8,3
percentile_99,3.6,3
percentile_roll_std_10_window_100,113.2,3
percentile_roll_std_10_window_1000,118.8,3
percentile_roll_std_10_window_10000,43.0,3
percentile_roll_std_10_window_500,121.4,3
percentile_roll_std_1_window_100,69.4,3
percentile_roll_std_1_window_1000,80.0,3
